content,score,country,clean_review
dont update! once i updated the app everything saved that showed my progress was removed. 200 birr for an app that dont even save(developer you are a joke ),1,us,dont update updated app everything saved showed progress removed birr app dont even savedeveloper joke
በጣም ምርጥ app ነው ያለፋ የፈተና ወረቀቶችን ከመሰብሰብ ገና ደግሞ እያንዳንዱ ጥያቄ ከየትኛው ምእራፍ እንደመጣ መለየት ገና መልሳቸውን ለመስራት የምፈጀውን ጊዜ እና ጉልበት በጣም ቆጥቦልኛ እና ለአበልጻጊዎቹ ምስጋናዬ የላቀ ነው በርቱልን👍👍👍,5,us,app
nice good,5,us,nice good
best app ever,5,us,best app ever
good 👍 for the rest 😌,5,us,good rest
because it useful,5,us,useful
you do good jobs,1,us,good job
The Goat,5,us,goat
No መሰሰት ለ rating🥰,5,us,rating
it is best app for entrance exam,5,us,best app entrance exam
nice,5,us,nice
the best,5,us,best
"fix the app the new update just started saying connection failed, please try again and i cant use the app anymore pls fix this issue",1,us,fix app new update started saying connection failed please try cant use app anymore pls fix issue
Sintun asalefnew eyegefafanew😎😘,5,us,sintun asalefnew eyegefafanew
It's different 🙌,5,us,different
better time with this app,1,us,better time app
what a platform 👌,5,us,platform
Best for high school student,5,us,best high school student
good,5,us,good
it is the best app I have ever used,5,us,best app ever used
it's good,5,us,good
best,5,us,best
the importance app for students is this 👌,5,us,importance app student
"This app is not only used for Grade 12 students, but also uses for all because is has all matric questions and categorized into their chapter thanks !",5,us,app used grade student also us matric question categorized chapter thanks
Trash and paid!,1,us,trash paid
worest is need fee,1,us,worest need fee
"this app is very important for grade 12 student, use it.",5,us,app important grade student use
cool🔥🔥,5,us,cool
"this app look amazing but it is not working for my phone ZTE. it says after I downloaded it ""this app is not capable with this ZTE"" if you solve it I will give you 5 star,solve it please",1,us,app look amazing working phone zte say downloaded app capable zte solve give starsolve please
Such a good app,4,us,good app
It is the best,5,us,best
it doesn't work on my phone immediate soln please.,2,us,doesnt work phone immediate soln please
"I found this app very useful! I'll be taking the national exam this year, and this thing is really helping me. Thank you!",5,us,found app useful ill taking national exam year thing really helping thank
Nice,5,us,nice
"First and foremost, I want to commend you on the user-friendly interface. Navigating through the past papers is seamless, and the search functionality makes it easy to find specific topics or questions. The inclusion of detailed explanations for each answers is particularly helpful for understanding concepts better. I also appreciate variety of exam format available ,which allows users to practice comprehensively. Overall your app has been invaluable resources in my exam preparation.",5,us,first foremost want commend userfriendly interface navigating past paper seamless search functionality make easy find specific topic question inclusion detailed explanation answer particularly helpful understanding concept better also appreciate variety exam format available allows user practice comprehensively overall app invaluable resource exam preparation
"It's an amazing app,but I wish this app would be available on computers since it will make us ready for online exams as well",5,us,amazing appbut wish app would available computer since make u ready online exam well
Important app for grade 12,5,us,important app grade
Çok guzel(very good),4,us,ok guzelvery good
I can surely say that it's the best I've ever seen. Good job ethio matice,5,us,surely say best ive ever seen good job ethio matice
Good to students,5,us,good student
ETHIO MATRICX Reduce my Exertion!!!,5,us,ethio matricx reduce exertion
"many great students do not know this app but if they did im sure they will do better than this, and as much as possible i will tell everybody how this app is useful and you should do it too thank a lot ethio matric",5,us,many great student know app im sure better much possible tell everybody app useful thank lot ethio matric
Thanks all teams,5,us,thanks team
Thank you very much,5,us,thank much
Your application (ethiomatric) changed my life I would like to say thank you more,5,us,application ethiomatric changed life would like say thank
Ere ye social tolo lkekuln bezeh amet new yekefelnew😥,2,us,ere ye social tolo lkekuln bezeh amet new yekefelnew
Best application,5,us,best application
Good app,5,us,good app
Amazing app,5,us,amazing app
I love too much,5,us,love much
Model exam for 2025,5,us,model exam
What an amazing app!,5,us,amazing app
It's very useful,1,us,useful
None,5,us,none
Best,1,us,best
"This app is very nice. But when I try to transfer for another from my device, it won't work. So maybe if u can solve this, there are so many people that are non-technical that can't install the app directly from play store.",5,us,app nice try transfer another device wont work maybe u solve many people nontechnical cant install app directly play store
It's a good app but why don't you make 2024 social entrance exams?and You made it for natural. Why? Aren't we students too?,4,us,good app dont make social entrance examsand made natural arent student
I have no words to describe my experience with this app .,5,us,word describe experience app
fantastico,5,us,fantastico
I have no word❤❤❤❤❤❤❤❤🥰🥰🥰,5,us,word
"The work you are doing for us is highly commendable🙏 and admirable🔥. I found the application very good👍 and smart👌. In this work, you have been the reason for many students wonderful results🎖️🥇 and we thank God for your hard work. Thank you very much for your great support🙏🙏.",5,us,work u highly commendable admirable found application good smart work reason many student wonderful result thank god hard work thank much great support
"This app very useful it's helps me a lot to do entrance questions I hope I will score a good results,I know that diligent reading and consistent practice are key to success.",5,us,app useful help lot entrance question hope score good resultsi know diligent reading consistent practice key success
I want to thank you because without this app I fail exam. so I always tell your deeds. God bless you 🙏🙏,5,us,want thank without app fail exam always tell deed god bless
Good,5,us,good
Ethio matric always unique apparatus within clear explanation and 100% their honestyfor their customers.,5,us,ethio matric always unique apparatus within clear explanation honestyfor customer
It very 👍,4,us,
Thank you,5,us,thank
good,5,us,good
It is the best school,5,us,best school
You are brave,5,us,brave
Best app for students that i have ever seen next to chat gpt 🙏,5,us,best app student ever seen next chat gpt
This app is helpful At doing question.,5,us,app helpful question
👋HI I'm a user of Ethio matrix app and the app doesn't update the 2016 entrance exam but I pay after hamle so why,5,us,hi im user ethio matrix app app doesnt update entrance exam pay hamle
Perfect app,5,us,perfect app
Very good apps,1,us,good apps
Dentist,3,us,dentist
"To be honest, technology cheges the whole game of scoring above 500, and ur app strengthen this. ክብር ለሚገባው ክብርን እሰጣለን👏",5,us,honest technology cheges whole game scoring ur app strengthen
"It is very good app al of the time. But, now it have some problems. I can't get the password. What is the problem.",5,us,good app al time problem cant get password problem
Thank you very much I experienced more and more by you,5,us,thank much experienced
Gooooood,5,us,gooooood
This helps me a lot!,5,us,help lot
This app is very good continue,5,us,app good continue
Please 2016 entrance exam!,5,us,please entrance exam
Update 2016 UEE please,5,us,update uee please
keep it going,5,us,keep going
Best of best,5,us,best best
Interesting,5,us,interesting
this app is beautifully or more use full,5,us,app beautifully use full
Butifull app,5,us,butifull app
Best app👌,5,us,best app
😘😘😘😘😘😘😘😘😘,5,us,
I'm so proud of you really..the app is very important for Ethiopian students especially those who take UEE exam.,5,us,im proud reallythe app important ethiopian student especially take uee exam
በነፃ የሚፈትኑትን ተመልከት...,1,us,
Legnna letemariwoch yemixeqm aynt sign tolo tolo update binorw.,5,us,legnna letemariwoch yemixeqm aynt sign tolo tolo update binorw
no expreyance,4,us,expreyance
i like it,5,us,like
ጥሩ ነዉ! ነገር ግን................ችግር ብቻ አለዉ::,1,us,
Thanks sincerely,5,us,thanks sincerely
Thank you for provding us such awesome thinng🥰,5,us,thank provding u awesome thinng
Very useful app for high school students. And not afforded to buy,5,us,useful app high school student afforded buy
Entrance exam 2016,5,us,entrance exam
"I am glad to have this app. I recommend every grade 12 & below student to use it. We are eagerly waiting for the new 2016 exam collection within a few months, please",5,us,glad app recommend every grade student use eagerly waiting new exam collection within month please
Wow this app is Very good For student Those who take Entrance Exam……,5,us,wow app good student take entrance exam
"It is very interesting app,but i view some errors Please solve it thinks thinks thinks",5,us,interesting appbut view error please solve think think think
How to install in this app,5,us,install app
"This app is amazing. But has a vital connection problem. So please maintain your server well, or add another server to reduce network overload and use a programing code that has high potential in making webapp. Otherwise, we will not be abled to use the app.",4,us,app amazing vital connection problem please maintain server well add another server reduce network overload use programing code high potential making webapp otherwise abled use app
"it is not working, I try million times to sign up but I can't. it says that there is no internet connection, but I am using 4G internet and when I download something the speed reaches 1mb/s. please fix it",1,us,working try million time sign cant say internet connection using g internet download something speed reach mb please fix
How can I start this application,5,us,start application
wow ! This app is useful ever,5,us,wow app useful ever
Good Work Guys,5,us,good work guy
😲,5,us,
Pls we want 2016 exam,4,us,pls want exam
2016 exam,5,us,exam
I am very happy due to gaining you or your app. It is helpful.Thank you so much.,5,us,happy due gaining app helpfulthank much
It is incredible app but can you contain the 2016 exam as much as soon,5,us,incredible app contain exam much soon
The best app for entrance exam,5,us,best app entrance exam
That's so great that i can't even describe it properly love it so much 🙌,5,us,thats great cant even describe properly love much
Its excellent for entrance exam I give some advice for this year students use this app after daily reading that makes esay all subjects and I wish u to pass with grate point,5,us,excellent entrance exam give advice year student use app daily reading make esay subject wish u pas grate point
I appreciate you,5,us,appreciate
"This is spectacular app, predominantly for national examiner but also it's helpful for other students.Student who use this app really improve his/her own performance+confidence,it have different view bcz of holding Burger 🍔 like package of matric questions and enough explanation.I wish I had rate 5⭐⭐⭐⭐⭐+for this priceless app.Thanks🙏",5,us,spectacular app predominantly national examiner also helpful studentsstudent use app really improve hisher performanceconfidenceit different view bcz holding burger like package matric question enough explanationi wish rate priceless appthanks
Good,5,us,good
It's good app it's very important ❤️,5,us,good app important
Best of the best,5,us,best best
Thanks for very much,5,us,thanks much
Wow best trying way But there's no 2017 exam questions,5,us,wow best trying way there exam question
It's best app specially for students it can help us by many way it give us more knowledge and wisdom so thank u for created this app,5,us,best app specially student help u many way give u knowledge wisdom thank u created app
ክፍያ ለምን አስፈለገ,1,us,
"5 🌟 is not enough for you.The app is very very amazing it contains very clear explanation and it's easy to use . As I think the background of the app has an outstanding person, so you are enough for modifying your country in this way. You are a patriotic scholar.",5,us,enough youthe app amazing contains clear explanation easy use think background app outstanding person enough modifying country way patriotic scholar
Wow it's amazing. i advised you to use this unique app.,5,us,wow amazing advised use unique app
Do not work this app please help me,3,us,work app please help
"on my phone it have not option unlock all subject and have only 2009 entrance questions ,please prove it",1,us,phone option unlock subject entrance question please prove
It is very helpful,5,us,helpful
The app is best ill recommend to every body to use it....... and i wish to every grade 12 student good luck........... but the problem is that when they update the app ur progress will be deleted....... and when u see that ur moral for study will decrease....... and so be strong and do not give up u will pass the exam ill give a 4 rating fr the app,4,us,app best ill recommend every body use wish every grade student good luck problem update app ur progress deleted u see ur moral study decrease strong give u pas exam ill give rating fr app
Suggest by sifen and it is crazy good I like it,5,us,suggest sifen crazy good like
This is the best application that I have ever seen for Ethiopian students. Keep going 👌👌👌,5,us,best application ever seen ethiopian student keep going
I have used many lots of thing by using this app,5,us,used many lot thing using app
It's best app,5,us,best app
It was really helpful and amazing .I'm really grateful for that but never stop improving .For example try to prepare questions yourself based on the new curriculum.,5,us,really helpful amazing im really grateful never stop improving example try prepare question based new curriculum
Peace,5,us,peace
Best,5,us,best
Thank you ethio matric 🙏,5,us,thank ethio matric
i have ZTE and it's version is 11 but it is still refuse me. please help me,1,us,zte version still refuse please help
It is very useful,5,us,useful
"It was my helper in the high school and university entrance exam. So, I advise this app.",5,us,helper high school university entrance exam advise app
Worst app with many mistakes,1,us,worst app many mistake
I'm student,5,us,im student
It helped me a lot on my entrance. Please try it out guys.,5,us,helped lot entrance please try guy
Ethiomatric forever,5,us,ethiomatric forever
ብዙ ነገር ያገዘኝ አፕ ነዉ,5,us,
The best App for grade 12 students,5,us,best app grade student
"This app really helped me to score more than 550 on the entrance exam. I was frequently absent from my class, but still managed to achieve a good result by studying at home, and using ethio matric. I highly recommend this app for anyone who's going to take the entrance exam.",5,us,app really helped score entrance exam frequently absent class still managed achieve good result studying home using ethio matric highly recommend app anyone who going take entrance exam
"I regret that I didn't start this earlier but even in the two months I used it before the test, it was really helpful to practice previous tests. Thank you Ethio Matric, I got 547/600. I owe some of it to you.",5,us,regret didnt start earlier even two month used test really helpful practice previous test thank ethio matric got owe
I recommend you believe me i didnt study any thing i just do the question for 1 month and i got 350 use it,5,us,recommend believe didnt study thing question month got use
This app helped me a lot because 1 month left for my entrance exam i used the app and the explanation and i achieved best result in my exam.,5,us,app helped lot month left entrance exam used app explanation achieved best result exam
Definitely recommend,5,us,definitely recommend
There is a lot of experience in this app obviously appreciated✌️✌️✌️,5,us,lot experience app obviously appreciated
I used this app to correct my mistake while i'm doing previous years entrance exams additional i get many years entrance exams. Thank you for giving us such fascinating application.,5,us,used app correct mistake im previous year entrance exam additional get many year entrance exam thank giving u fascinating application
To be honest etio matric is the best app to prepare for entrance exam i pass the exam with a good mark and this app has a key role in my result,5,us,honest etio matric best app prepare entrance exam pas exam good mark app key role result
"Look,if you are someone who wants to pass the entrance exam, I recommend you to use this app really enthusiastically, I have got 455 and all the thanks to Ethiomatric, and it's systematic way of imparting questions to tackle specific units of each grade, making it really useful to work peice by piece. I also want to thank the developer to allow users of all around ethiopia to enjoy his impressive app with a single and affordable subscription fee with timely updates. Thank you !",5,us,lookif someone want pas entrance exam recommend use app really enthusiastically got thanks ethiomatric systematic way imparting question tackle specific unit grade making really useful work peice piece also want thank developer allow user around ethiopia enjoy impressive app single affordable subscription fee timely update thank
ለትርፍ ብሎ ብቻ ያልተመሰረተ አሪፍ app አሪፍ ውጤት አምጥቼ እንድሸለም ረድቶኛል በጣም,5,us,app
"It's Best app ,after using it my result for matric is 566/600",5,us,best app using result matric
"I liked it very much, it is amazing app",5,us,liked much amazing app
"Best app for highschool students in Ethiopia, I highly recommend this wonderful app.",5,us,best app highschool student ethiopia highly recommend wonderful app
This app will help you a lot it's worth every penny,5,us,app help lot worth every penny
thank You very much for your help for us,5,us,thank much help u
"Ethio Matric is an incredible app! It helped me tremendously in achieving a high score on my entrance exam. If you're a high school student, it's the perfect app for you. 👌",5,us,ethio matric incredible app helped tremendously achieving high score entrance exam youre high school student perfect app
"If it wasn't for EthioMatric, I wouldn't pass my matric exam. This apk is honestly one of the greatest apks that I recommend for students in highschool. What I really want to tell to the EM support group is that what if you add some chat section for the students to communicate like a group and add some questions which are created by EM with a greater accuracy to match with the real matric questions. I just do not think the matric questions are enough. Else, It is the best apk so far. Thank You!",5,us,wasnt ethiomatric wouldnt pas matric exam apk honestly one greatest apks recommend student highschool really want tell em support group add chat section student communicate like group add question created em greater accuracy match real matric question think matric question enough else best apk far thank
It s the essential for grade 12,1,us,essential grade
it's a very cool app.,5,us,cool app
Betam ameseginachiwalehu betam redtachugnal 🙏👌,5,us,betam ameseginachiwalehu betam redtachugnal
It was the best thing to get ready for matric. I can't thank you enough. This was the best tool for matric. It really helped me out. I recommend it to everyone taking the 12th grade national exam. It will help you out a lot. And you will score a really good score if you use this app.,5,us,best thing get ready matric cant thank enough best tool matric really helped recommend everyone taking th grade national exam help lot score really good score use app
Helpful👌,5,us,helpful
It's perfect I recommend you to open it It is useful 👍👍👍👍,5,us,perfect recommend open useful
"This app will help you more than your teachers trust me , matric is not about class ውስጥ ስላለ አተካራ its all about exercising past exam questions",5,us,app help teacher trust matric class exercising past exam question
"It's amazing,",5,us,amazing
It's amazing,5,us,amazing
It's so so much good it really helpful,5,us,much good really helpful
One of the best thing to win the century of birhanu nega if you got this app you will not gone regret it.,5,us,one best thing win century birhanu nega got app gone regret
very help full,5,us,help full
Just one word amazing,5,us,one word amazing
Unbelievable,5,us,unbelievable
Ethio matric lene bexam xeru app nw ena yehen app becha bemexeqem yeteleyayu xeyaqewochen explanation becha bemayet zendero yeserahuachew xeyaqewoch nebru ena bexam tnx bertulen,5,us,ethio matric lene bexam xeru app nw ena yehen app becha bemexeqem yeteleyayu xeyaqewochen explanation becha bemayet zendero yeserahuachew xeyaqewoch nebru ena bexam tnx bertulen
Try to reduce its size/storage And make it to be searched by key word (offline) if possible! It is best and important app!! Thank you very much!!!,5,us,try reduce sizestorage make searched key word offline possible best important app thank much
"I am incredibly grateful for the Ethio Matric app! It played a major role in helping me pass my entrance exam. The well-organized study materials, practice questions, and mock exams were exactly what I needed to prepare effectively. The app’s user-friendly design made studying easier and more efficient. I highly recommend it to anyone preparing for the national exams. Thank you, Ethio Matric, for your support in my success!",5,us,incredibly grateful ethio matric app played major role helping pas entrance exam wellorganized study material practice question mock exam exactly needed prepare effectively apps userfriendly design made studying easier efficient highly recommend anyone preparing national exam thank ethio matric support success
This is my first time reviewing an app and I recommend this app 100% I passed because of this app,5,us,first time reviewing app recommend app passed app
Keep it up ❤❤❤,5,us,keep
Wonderful,5,us,wonderful
"Frankly speaking,this apps really helped me to score a good result. I always practice entrance questions from this app.Especially at time i become tired.So my gratitude is at large for all those who create(design) this app.God shall bless you",5,us,frankly speakingthis apps really helped score good result always practice entrance question appespecially time become tiredso gratitude large createdesign appgod shall bless
wow amazing application ❤❤❤❤🥰,5,us,wow amazing application
Arf app new temarwochin lemaneqaqat beye weru maneqaqiya motivational notification be appu bekul bitlequ degmo 💯,5,us,arf app new temarwochin lemaneqaqat beye weru maneqaqiya motivational notification appu bekul bitlequ degmo
I never forget what you helped me Ethiomatric.That's why I recommend students to download this app,5,us,never forget helped ethiomatricthats recommend student download app
Trust me you will never be disappointed for downloading this app,5,us,trust never disappointed downloading app
Betam betam betam arif new betam,5,us,betam betam betam arif new betam
I really appreciate ethio matric,5,us,really appreciate ethio matric
"It is a very excellent application; it has helped me a lot with the entrance exam. Thank you for this, and I encourage you to keep it up!!!",5,us,excellent application helped lot entrance exam thank encourage keep
በጣም አሪፍ app ነው። በተለይ ጥያቄዎቹ በ chapter የተከፋፈሉ ስለሆኑ የማትሪክ ጥያቄ የት ላይ እንደሚያተኩር ለማወቅ ይረዳችኋል። ማንበብ ከመጀመራችሁ በፊት ጥያቄዎቹን ከ Ethio matric ገረፍ ገረፍ ብታደርጉ ፤ የትላይ በደንብ ማጥናት እንዳለባችሁ ትለያላችሁ።በተለይ በዚህ ዋጋ የማይተመን ነው! እኔ በጣም ረድቶኛል ተጠቀሙበት።,5,us,app chapter ethio matric
Dhugaa dubbachuu hojiin keessan baayyee jabaadha jabaadhaa ministirii barnootaatu bu'aa isin fiddan kana fiduu hin dandeenye jabaadhaa isin jaalanna,5,us,dhugaa dubbachuu hojiin keessan baayyee jabaadha jabaadhaa ministirii barnootaatu buaa isin fiddan kana fiduu hin dandeenye jabaadhaa isin jaalanna
If you are a student preparing for a matric exam i will recommend you to use this app to its full extent because I believe this app will add something on your matric result believe me.,5,us,student preparing matric exam recommend use app full extent believe app add something matric result believe
"It's the best application I ever used. I highly recommend all students from Grade 9-12 to download and use this app, especially if you are Grade 12 Entrance taker. Trust me you will not regret paying for Ethio Matric.",5,us,best application ever used highly recommend student grade download use app especially grade entrance taker trust regret paying ethio matric
Best of the best🔥,5,us,best best
You are the great!,5,us,great
Thank you so much😘🥰,5,us,thank much
Betaam gerami app new,5,us,betaam gerami app new
Appin kun haalan baredaa waan tahef hunduu kessanuu fayadamii namas fayadamsisii 🫡,5,us,appin kun haalan baredaa waan tahef hunduu kessanuu fayadamii namas fayadamsisii
This is one of best application ever for Euee preparation made by Ethiopians Once you download it. you pay 100Birr or something when i was preparing for Euee I used it and it was helplful. I encourage you to download and join their subscription. The payment you pay is once you don't need to pay monthly they ask only initial payment.,5,us,one best application ever euee preparation made ethiopian download pay birr something preparing euee used helplful encourage download join subscription payment pay dont need pay monthly ask initial payment
This is the most helpful app I ever had in ma school life fr I recommend everyone to try it I passed matric exam with 455( social) and it is cuz of this app and I am very grateful,5,us,helpful app ever school life fr recommend everyone try passed matric exam social cuz app grateful
Good,4,us,good
nice app i have ever seen,5,us,nice app ever seen
Great app,5,us,great app
ሁሉም ተማሪ መጠቀም ያለበት application ግን የተወሰነ ስህተት አለው መልሳቹ ላይ,4,us,application
Wow its amazing in a million,5,us,wow amazing million
Thanks EthioMatiric Students Please must be use this app to score >500. 🎉🎉🎉🎉🎉🎉🎉🎉,5,us,thanks ethiomatiric student please must use app score
Wow it's nice please use it,5,us,wow nice please use
Simply Excellent app,5,us,simply excellent app
Probably the best app ever made in Ethiopia in my opinion,5,us,probably best app ever made ethiopia opinion
What great up,5,us,great
Very useful app and how can I update My app to get 2016 exam(2024),5,us,useful app update app get exam
"This app makes no sense, when the first time I tried to sign up, it just says "" your network is slow, you are out of network,"" with no reason in fact there is amazing NETWORK!!! So please fix this problem ASAP !!!!",1,us,app make sense first time tried sign say network slow network reason fact amazing network please fix problem asap
15 years,5,us,year
really an amazing app friends to get prepared to the exam,5,us,really amazing app friend get prepared exam
"This app is very helpfull so, i love very much thus why i give 5 star Please! ተጠቄሙ ወንድሞች ሆይ",5,us,app helpfull love much thus give star please
"No words for you! It was literally the best app I could get for matric exam. I liked the explained answers, I liked the fact that it's divided in units, I liked the whole platform. I am really grateful and wanna say keep up the good work.",5,us,word literally best app could get matric exam liked explained answer liked fact divided unit liked whole platform really grateful wanna say keep good work
"It's very crucial app that helped me for the exam. I personally advise all students who are going to take entrance exam this year to use the app.There are many questions that comes repeatedly in each year and students should work all the provided questions. And the most technique to be ready for exam is to know how exams are formulated so be aware of how the ask questions. And finally, I'm really grateful for your support Ethio Matrics❤️",5,us,crucial app helped exam personally advise student going take entrance exam year use appthere many question come repeatedly year student work provided question technique ready exam know exam formulated aware ask question finally im really grateful support ethio matric
It say internet connection failed yilal...internet iyetetmkut,2,us,say internet connection failed yilalinternet iyetetmkut
It is a scam do not and let me repeat do not install this they'll ask you to pay money do not install it.🤬🤬🤬,1,us,scam let repeat install theyll ask pay money install
120-150br to unlock all exams? Seriously say???,1,us,br unlock exam seriously say
Best app for entrance exam takers,5,us,best app entrance exam taker
"It was working well, but stopped functing since I updated it. Would you please...?",3,us,working well stopped functing since updated would please
it is best app but we need in 2016 euee,5,us,best app need euee
the greatest app 😱,5,us,greatest app
𝒕𝒉𝒆 𝒇𝒓𝒊𝒔𝒕 𝒆𝒇𝒇𝒆𝒄𝒕𝒊𝒗𝒆 𝒆𝒙𝒂𝒎 𝒂𝒑𝒑 𝒊𝒏 𝑬𝒕𝒉𝒊𝒐𝒑𝒊𝒂,5,us,
I found it amazing,5,us,found amazing
What is it that all of it is not downloading for me?,5,us,downloading
100% use full,5,us,use full
"Thanks for app, but it must quality up",5,us,thanks app must quality
Let me tell you something true if you pay and use this app I will score high mark on Ethiopian University Entrance Exam,5,us,let tell something true pay use app score high mark ethiopian university entrance exam
This app us so amazing app for students,5,us,app u amazing app student
Wow very very thank you this application neccesary for student grade 9-12 so continue,1,us,wow thank application neccesary student grade continue
The world's best app,5,us,world best app
Thanks may God bless all developer of this app,5,us,thanks may god bless developer app
"I will not hesitate to give you a 5-star rating. You, as the developer, are the bravest person I have ever seen when it comes to the matric exam in our country. I truly appreciate the way you categorized each question by grade level and chapter. However, I'd like to suggest that you take a closer look at the app after your latest update. We are experiencing some challenges when trying to open booklets, particularly the 2015 one. In addition, we prefer to have the screen always on. Take a bow!!👊",5,us,hesitate give star rating developer bravest person ever seen come matric exam country truly appreciate way categorized question grade level chapter however id like suggest take closer look app latest update experiencing challenge trying open booklet particularly one addition prefer screen always take bow
It is the best app . What I like is the question are catgorized based on the units,5,us,best app like question catgorized based unit
This app doesn't work in ZTE PHONE,1,us,app doesnt work zte phone
Wow,5,us,wow
It's very useful application for students to practice for Entrance exam,5,us,useful application student practice entrance exam
Thank you,5,us,thank
It is very interesting app,5,us,interesting app
Thank you,5,us,thank
Tiru nw,5,us,tiru nw
Best,5,us,best
Tank you for your help,5,us,tank help
Helpful,4,us,helpful
"This app is so great , it has helped me overcome my confusions on many euee questions, but one thing is that .. when I do the questions in the "" after finishing"" mode , if I encounter a question which is hard and I skipped it, I will have to find it back in order to do it again. So if you could make sth like a flag or some reminder for a skipped question, that'd be great...and secondly it'd be great if it could rotate....other than that it's the app I'd recommend for everyone, thank you so much!",5,us,app great helped overcome confusion many euee question one thing question finishing mode encounter question hard skipped find back order could make sth like flag reminder skipped question thatd greatand secondly itd great could rotateother app id recommend everyone thank much
It's very good,5,us,good
Simply perfect!❤❤❤,5,us,simply perfect
This is amazing app. Keep it up.,5,us,amazing app keep
Very good app but offiline,5,us,good app offiline
The greatest app,5,us,greatest app
Best,5,us,best
The best,5,us,best
I love it,5,us,love
It is best and amazing work of idea 👏👏,5,us,best amazing work idea
I am happy about this app because It help me a lot in my entrance exam,5,us,happy app help lot entrance exam
Excellent,5,us,excellent
Am student I love it,5,us,student love
This app is awful i can't download the data,1,us,app awful cant download data
One of the best app on the world Keep it up♥️,5,us,one best app world keep
Study,5,us,study
The best app,5,us,best app
Thise good app,5,us,thise good app
This app is very interesting app. Please download and solve question,5,us,app interesting app please download solve question
Expectional app,5,us,expectional app
this is best app for exam preparation,5,us,best app exam preparation
You have to pay to use this app,1,us,pay use app
Awesome 💯,5,us,awesome
Best appl thanks for developer.,5,us,best appl thanks developer
"This app is a relief. Thanks a million. Just a constructive comment. If the app gets updated on a way when a student take a whole exam of certain year, their performance is not automatically measured unit by unit. I mean if I took Math exam 2015 I would love to see where is my weakness lie most, on which unit, and if the data is shared between the first and the second page which shows questions unit by unit I think that is possible",5,us,app relief thanks million constructive comment app get updated way student take whole exam certain year performance automatically measured unit unit mean took math exam would love see weakness lie unit data shared first second page show question unit unit think possible
I thought it was free. Becareful guys could be a scam!,1,us,thought free becareful guy could scam
"I was very interested by this app, beacause of its classification system topics by topics, but as a try when I saw questions of Biolgy grade 9 - 10 question 26, the answer is wrong with wrong explanation!!!",1,us,interested app beacause classification system topic topic try saw question biolgy grade question answer wrong wrong explanation
Ethiomatric,5,us,ethiomatric
Its very very helpful app i want to thank all who are involved,5,us,helpful app want thank involved
"I found this app so helpful for all students especially for those who takes Entrance Exam. The questions classification by chapters is amazing,but there is some mistakes in all subjects.",5,us,found app helpful student especially take entrance exam question classification chapter amazingbut mistake subject
Good,5,us,good
Well done,4,us,well done
