content,score,country,clean_review
"App is crushing repeatedly can't use it, please fix it.",2,us,app crushing repeatedly cant use please fix
I would've gave it 4 stars but now the app doesnt open and it keeps laging and not opening,2,us,wouldve gave star app doesnt open keep laging opening
Excellent,5,us,excellent
It is the very useful service giving app in Ethiopia thank you!!,4,us,useful service giving app ethiopia thank
"There are a lot of drivers that use a fake app that looks quite similar to ride and charge customers higher prices. I was once a victim of such a scam and reported it to their customer service but ride was not willing to do anything. Ride's image is being destroyed by such drivers, they should do more to protect their customers.",1,us,lot driver use fake app look quite similar ride charge customer higher price victim scam reported customer service ride willing anything ride image destroyed driver protect customer
👍 good,5,us,good
Tank you We are happy to ride,5,us,tank happy ride
"the best so far in ethiopia, 100/10",5,us,best far ethiopia
"Of you're looking for extremely slow services, this is the app.",1,us,youre looking extremely slow service app
good 👍,4,us,good
Nice,5,us,nice
very nice app,5,us,nice app
Drivers accept orders but dont look where to come for the pick up and then call you and say theyre too far. Then the app bans you for cancelling orders when infact the drivers arent coming.,1,us,driver accept order dont look come pick call say theyre far app ban cancelling order infact driver arent coming
wow,5,us,wow
very polite,5,us,polite
Poor customer handling,3,us,poor customer handling
the driver told me to cacle the order and a message apperses - 50 on my wallet?,1,us,driver told cacle order message apperses wallet
safe ride! thanks a lot,5,us,safe ride thanks lot
Good app but the drivers aren't that helpful and the map positioning is not advanced,5,us,good app driver arent helpful map positioning advanced
Great app to get the ordered food and the place where we go in our hand.,5,us,great app get ordered food place go hand
very good,5,us,good
"The wallet feature is poorly implemented. Despite checking the ""cash"" option during order, some times I'm charged from the wallet even though I paid in cash. Please review this, it's frustrating",2,us,wallet feature poorly implemented despite checking cash option order time im charged wallet even though paid cash please review frustrating
good,5,us,good
good app,5,us,good app
easy to book and cheaper compared to regular taxi,5,us,easy book cheaper compared regular taxi
it was great travelling with your platform thanks,5,us,great travelling platform thanks
Very friendly driver,5,us,friendly driver
very good app and easy to use,5,us,good app easy use
Best Platform,5,us,best platform
Great service,5,us,great service
"I always find it difficult to get a ride to my home or elsewhere, because the drivers can cancel the ride however they want and you cannot even give a compliant because there is no one to listen. Ride was once a better transport service company but now its going backwards with the unprofessional drivers and lack of regulations for them.",1,us,always find difficult get ride home elsewhere driver cancel ride however want cannot even give compliant one listen ride better transport service company going backwards unprofessional driver lack regulation
Nice,5,us,nice
"Excellent, very good English",5,us,excellent good english
great experience 😁😃,5,us,great experience
Just friend friend I will let you guys 😜 when you get here and I will let you guys know what you think it's time to go to the park with the park and well I have no plans ko,5,us,friend friend let guy get let guy know think time go park park well plan ko
😮wow,5,us,wow
ጥሩ ለውጥ ይታያል,2,us,
bad customer service,1,us,bad customer service
Great,4,us,great
good,5,us,good
Just real satisfaction !!,5,us,real satisfaction
excellent service,5,us,excellent service
Excellent,5,us,excellent
Good,5,us,good
very nice driver who speaks English ;),5,us,nice driver speaks english
You are thieves.,1,us,thief
Good Service,5,us,good service
I never received the SMS to activate it,1,us,never received sm activate
excellent,5,us,excellent
Privacy prayvet,5,us,privacy prayvet
perfect app,5,us,perfect app
ልጭን ስል ስልኬ ላይ ምንም VPN አልተጫነም ግን suspicious activity detected deactivate VPN ይላል,1,us,vpn suspicious activity detected deactivate vpn
👌👌👌,5,us,
Worst customer service and there drivers don't know how to use a map or there ride plus apps,1,us,worst customer service driver dont know use map ride plus apps
not good,1,us,good
I am well satisfied with the service and ethics of the drivers under RIDE.,4,us,well satisfied service ethic driver ride
Very good app,5,us,good app
"If you add your bank card to this app, you won’t be able to remove it because there’s no section to view or delete your card. Once you place a food order, you can’t cancel it. Overall, taxi and food delivery apps in Ethiopia are meaningless. There’s no customer support or chat feature to address your issues.",1,us,add bank card app wont able remove there section view delete card place food order cant cancel overall taxi food delivery apps ethiopia meaningless there customer support chat feature address issue
Nice one 👍,5,us,nice one
Excellent,5,us,excellent
"the driver is clean, and capable",5,us,driver clean capable
very friendly,5,us,friendly
good,5,us,good
I like this 😊,5,us,like
good service,5,us,good service
"Most drivers don't know how to use the map to locate the client, always insisting on calls which is more difficult if you don't know Amharic.",4,us,driver dont know use map locate client always insisting call difficult dont know amharic
I collect my bag on time. ride 1st!,5,us,collect bag time ride st
I highly advise Ride to provide an orientation to all Ride drivers on how to use the map. Otherwise it can be a miserable experience for passengers. Also kindly request to raise standards so all cars have minimum safety standards in place such as functional seatbelts in the front and back. If those two things were fixed then I give 5 stars.,2,us,highly advise ride provide orientation ride driver use map otherwise miserable experience passenger also kindly request raise standard car minimum safety standard place functional seatbelt front back two thing fixed give star
good service by the driver,4,us,good service driver
"Order has 2 stops. Final prices comes. The driver wants double the money because it's 2 stops. He doesn't let me go, refuses me paying the price as shown. Then he threatens me until the nearby security guards step in. Ride support number doesn't work from the app. Googling it and calling has no solution. The guy keeps parking at the gate and threatens me. No support from Ride.",2,us,order stop final price come driver want double money stop doesnt let go refuse paying price shown threatens nearby security guard step ride support number doesnt work app googling calling solution guy keep parking gate threatens support ride
as usual I am always satisfied and happy with your service!!! 💝🐕‍🦺🐕‍🦺💝💝,5,us,usual always satisfied happy service
ممتاز جدا,5,us,
great driver,5,us,great driver
THE APP ALGORITHM IS NOT COMPUTE WITH HUAWEI CELL PHONE AND UNABLE TO DOWNLOAD AND USE IT.,1,us,app algorithm compute huawei cell phone unable download use
Good Workers but the app is lacking it's like a watered-down version of The Uber app,5,us,good worker app lacking like watereddown version uber app
ጎበዝ ሹፌር ከጥሩ ጸባይጋ,5,us,
"It says ""attempt to disable the vpn or switch network"" when Im not connected to a vpn",1,us,say attempt disable vpn switch network im connected vpn
great app,5,us,great app
Thank you driver,5,us,thank driver
Great prices and quick. Good value for money in Ethiopia,5,us,great price quick good value money ethiopia
good,5,us,good
perfect 👌,5,us,perfect
"Good app but bad implementation, like what's the point of setting the gps pickup and destination if the driver is gonna call you and ask you where to pick u up plus we have to show them where to go EVERY DRIVER SINCE NOW BEEN ASKING ME WHERE TO, DUDE I LITERALLY SENT U THE GPS CHECK THAT!!",3,us,good app bad implementation like whats point setting gps pickup destination driver gonna call ask pick u plus show go every driver since asking dude literally sent u gps check
very nice driver,5,us,nice driver
service is very good,5,us,service good
This is not good app Discomfort drivers,1,us,good app discomfort driver
cool app,5,us,cool app
nice,5,us,nice
Great service,5,us,great service
great services 😘😘😘,5,us,great service
Good,5,us,good
"please give lessons to your drivers to use Google map,",3,us,please give lesson driver use google map
The application is simple and easy to use but to get the recipt it took me days to settle my expense. Financial system and service must be improved!,2,us,application simple easy use get recipt took day settle expense financial system service must improved
Good,5,us,good
I booked ride 4 hours before my departure for a minivan and someone booked it then canceled it without any notification for me. I called and the representative hung up on me. then she sent me vitz twice. What a stupid company and uneducated layman drivers. I hope you bankrupt and the driver lose his car.,1,us,booked ride hour departure minivan someone booked canceled without notification called representative hung sent vitz twice stupid company uneducated layman driver hope bankrupt driver lose car
"worst app, the drivers are disrespectful, just uninstalled it",1,us,worst app driver disrespectful uninstalled
Great,5,us,great
It doesn't work 24hrs don't trust ot plese,1,us,doesnt work hr dont trust ot plese
ልፍግፍፍፍፍፍቅቅግግ,4,us,
🙂,5,us,
speaks English! very cordial! Gave me a tour of the city!,5,us,speaks english cordial gave tour city
very excellent,5,us,excellent
Safe is z best,1,us,safe z best
it,1,us,
Clean car. Great driver.,5,us,clean car great driver
am happy with a service,5,us,happy service
"You can not depend on this app, drivers don't want to drive",1,us,depend app driver dont want drive
good,3,us,good
best transportation but the fee was a very high but i liked it but i wont use it a lot because of the money,3,us,best transportation fee high liked wont use lot money
horrible and slow functioning,1,us,horrible slow functioning
Something wrong with the app. I ordered a minivan of seven seats but just a small car came when I wanted to cancel before even the trip started. The app displayed that I should pay an unreasonable amount of money for that. The driver wasn't helpful at all. And the customer service is awful. The drivers are incapable of reading maps and require further information about your location and even tell to come to where they are.,1,us,something wrong app ordered minivan seven seat small car came wanted cancel even trip started app displayed pay unreasonable amount money driver wasnt helpful customer service awful driver incapable reading map require information location even tell come
i like this,5,us,like
Good,5,us,good
Good guy,5,us,good guy
They really adjusted price for passengers it's very discount and affordable. Thanks,5,us,really adjusted price passenger discount affordable thanks
very patient and professional.,5,us,patient professional
i am happy for ur service,5,us,happy ur service
Nice,5,us,nice
Thank you for the good service! Reliable! Dependable! Actual and Punctuale= RIDE,5,us,thank good service reliable dependable actual punctuale ride
I am a long time ride customer and I have a good experience and enjoying the service until this time. Thank you keep it up.,5,us,long time ride customer good experience enjoying service time thank keep
UK,5,us,uk
nice,5,us,nice
delight trip,5,us,delight trip
I am 100% satisfied. keep up your good work,5,us,satisfied keep good work
amazing,5,us,amazing
ok,3,us,ok
the application is simple and interesting: you have to fill your destination and select the car you deserve with its price.,5,us,application simple interesting fill destination select car deserve price
good 👍,5,us,good
I can't say it's anything less than amazing!!,5,us,cant say anything less amazing
This driver is awsome,5,us,driver awsome
Really my choise,5,us,really choise
One of the worst customer service on their call centers,1,us,one worst customer service call center
nice app,4,us,nice app
Happy...For ur services...🤌,5,us,happyfor ur service
amazing,4,us,amazing
"Attitude of some drivers (disrespecting customers, talking to mobile while driving, etc.) and the age and conditionof some of the cars (old cars and/or not clean cars) shall be improved. U must have a zero tolerance rule on these situations and u must give continues awareness and regularly supervise the conditionsof the cars on sevice.",3,us,attitude driver disrespecting customer talking mobile driving etc age conditionof car old car andor clean car shall improved u must zero tolerance rule situation u must give continues awareness regularly supervise conditionsof car sevice
a y x x o o > s x x \ K,3,us,x x x x k
የትራንስፖርቱን ዘርፍ ያግዛል,5,us,
"Quick, efficient, friedlich and the car was very clean. Everything yoibcould want!",5,us,quick efficient friedlich car clean everything yoibcould want
Good,5,us,good
Very polite and humble man. Comfortable ride.,5,us,polite humble man comfortable ride
Expensive,1,us,expensive
wow,5,us,wow
thank you,5,us,thank
Anewr albeza husan,5,us,anewr albeza husan
Drivers usually refuse to ride after you get in the car if its not short trip.,1,us,driver usually refuse ride get car short trip
"Good driver took a roundabout route, quite odd when there is a map right there in the app...",4,us,good driver took roundabout route quite odd map right app
I try to use food delivery for the first time and it is my last.worest service i have ever seen.its shows the order has been placed in my side but when the driver arrived there is no order placed.on top of that a bunch of driver had to call me back to back to make sure.whorest app only for delivery thou.,1,us,try use food delivery first time lastworest service ever seenits show order placed side driver arrived order placedon top bunch driver call back back make surewhorest app delivery thou
besties,5,us,besties
keep it up....! 🙏,3,us,keep
"So, good technology",5,us,good technology
"He showed up within 3 minutes of me placing my order, was polite, and had exact change.",5,us,showed within minute placing order polite exact change
good app. accurate,4,us,good app accurate
እጅግ በጣም ትሁት እና ደንበኛውን ተንከባክቦ መድረሻዬ ላይ አድርሶኛል መጀመሪያ ራይድን በመቀጠል ሾፌሩን ላመሰግን እወዳለሁ በርቱ ተበራቱ ነው የምለው።,5,us,
best,5,us,best
"On my last time i used Ride, I had a bad experience with the driver who was very rude. I was charged 220 birr. To my surprise, the driver showed me a fare of 330 birr, which I reluctantly paid. However, i immediately realized that I was cheated. I attempted to call the driver and requested for my money back, but initially, he promised to refund me later, but then refused to return my money. Disappointed by this inciden i called the center but they told me to chek the app before making a payment",1,us,last time used ride bad experience driver rude charged birr surprise driver showed fare birr reluctantly paid however immediately realized cheated attempted call driver requested money back initially promised refund later refused return money disappointed inciden called center told chek app making payment
good 👍,5,us,good
great driver,5,us,great driver
excellent drive,5,us,excellent drive
great customer service,5,us,great customer service
ጥሩ ነው ተደስቻለሁ,4,us,
Better and good service,5,us,better good service
the best driver 👌,5,us,best driver
Good experience,5,us,good experience
"The drivers seem unaware of the company-provided coupons, with some exhibiting confrontational behavior; one incident nearly escalated to physical harm. It's crucial for the company to ensure drivers are informed about coupon discounts and are trained in professional conduct. Moreover, drivers should be required to accept the terms of use within the app, emphasizing the importance of respecting customer needs. Additionally, the support phone response times are significantly delayed.",1,us,driver seem unaware companyprovided coupon exhibiting confrontational behavior one incident nearly escalated physical harm crucial company ensure driver informed coupon discount trained professional conduct moreover driver required accept term use within app emphasizing importance respecting customer need additionally support phone response time significantly delayed
Reliable customer service.,4,us,reliable customer service
Tiktok,5,us,tiktok
Your drivers start the journey before they arrive.,3,us,driver start journey arrive
it's a good app i recommend it,4,us,good app recommend
Best service,5,us,best service
I invited more than 100 ride users when you reward me?,5,us,invited ride user reward
"University student, studying two degree! By management and civil engineering.",5,us,university student studying two degree management civil engineering
Amazing,5,us,amazing
Its so very nice transportation in Ethiopia keep it up,5,us,nice transportation ethiopia keep
good,4,us,good
"I have been using your application for more than 6 years.... But this time I had some problems that are forcing me to stop using it. Mainly because of the different drivers who do not respect your role regarding location and map and are not exposed to drive according to the passenger's will. In addition, they do not give change of payment and always have the excuse that they do not have change. Treating passengers properly should be the priority choice. Sincerely Caterina Enrico",5,us,using application year time problem forcing stop using mainly different driver respect role regarding location map exposed drive according passenger addition give change payment always excuse change treating passenger properly priority choice sincerely caterina enrico
it's very good,5,us,good
I don't recommend it,1,us,dont recommend
take short wey to the destination,4,us,take short wey destination
good gop,5,us,good gop
He is the best driver ever,5,us,best driver ever
To expensive compared to it's competitors and doesn't even measures against it's drivers cancelling because the distance isn't short.,1,us,expensive compared competitor doesnt even measure driver cancelling distance isnt short
WhatsApp confirmation code not sending to US (+1) number. I can't sign up.,1,us,whatsapp confirmation code sending u number cant sign
a bit delay,4,us,bit delay
Good,2,us,good
Is too weak,2,us,weak
why can't I remove my credit cards and debit cards from the ride app i can add cards but can't remove them it's weird and annoying,2,us,cant remove credit card debit card ride app add card cant remove weird annoying
Poor customer service that I have experienced ever. I was begging to receive a Trip Summary via my email for more than 10 days. And yet they are not responding to my request. Call center operators didn't respond properly for my request. They just forward the call to another line which is not working. I have send repeated emails though didn't get any reply from their side.,1,us,poor customer service experienced ever begging receive trip summary via email day yet responding request call center operator didnt respond properly request forward call another line working send repeated email though didnt get reply side
he is best,5,us,best
good driver,5,us,good driver
Only works if you can describe the way to your location well. Drivers want to confirm the location by phone and don't trust the map. I often get drivers who cancel. That's why it's easier to call the number of a reliable driver who knows your location.,3,us,work describe way location well driver want confirm location phone dont trust map often get driver cancel thats easier call number reliable driver know location
"My online banking app sends me notifications each time I use this app because some drivers try to charge without providing service. Today another driver accepted my request which amounted to 176 etb, came to pick me up and when we arrived at the destination I saw that he cancelled the request by the time he picked me up and tried to charge me 300 etb instead. Most of their drivers don't know the city and don't know how to read a map and kept asking me the direction.",2,us,online banking app sends notification time use app driver try charge without providing service today another driver accepted request amounted etb came pick arrived destination saw cancelled request time picked tried charge etb instead driver dont know city dont know read map kept asking direction
Its very very good app,5,us,good app
I need receit,5,us,need receit
Great ride,5,us,great ride
Your,4,us,
good,4,us,good
ለሹፌሩ እና ለኛበቅርበት እንዲጠራ ማድረግ አለባቹ ...ችግራቹ እሱ ብቻ ነው።,5,us,
Overpriced compared to other ride hailing apps in the city and the drivers are rude and always trying to scam.,1,us,overpriced compared ride hailing apps city driver rude always trying scam
great app,5,us,great app
nice clean very help full caind driver thank you for servese,4,us,nice clean help full caind driver thank servese
Done,5,us,done
safe,5,us,safe
nice person,5,us,nice person
good,5,us,good
Great Driver and service.,5,us,great driver service
"First I have to call just for a driver to get hear (why not use location), second drivers r so annoying and can respect boundaries 3rd it's too expensive compared to other similar service apps",1,us,first call driver get hear use location second driver r annoying respect boundary rd expensive compared similar service apps
Drivers take too long,3,us,driver take long
Ponctual drivers,5,us,ponctual driver
Excellent,1,us,excellent
I love RIDE.Ride is the Perfect and perfect campany.,5,us,love rideride perfect perfect campany
ዋጋ ቀነስን ብላችሁ አትዋሹ,3,us,
excellent service,5,us,excellent service
excellent and smooth,4,us,excellent smooth
👍👍👍,5,us,
"he was helpful, and I enjoyed the ride",5,us,helpful enjoyed ride
your company have a problem on issue of recipient for payments.,4,us,company problem issue recipient payment
Nice,2,us,nice
Good service 👍,5,us,good service
"Just the perfect company, I really love this app to, it's very useful and simple for everyone to use it, thanks for serving us👏🏼👏🏼👏🏼",5,us,perfect company really love app useful simple everyone use thanks serving u
"FazzZ1 z1, z Z1",1,us,fazzz z z z
Fantastic!!!,5,us,fantastic
Its good app from othera,5,us,good app othera
good,4,us,good
"This company stole the idea from zayride and claimed as if it is theirs, this is rubbish in this day and age",1,us,company stole idea zayride claimed rubbish day age
How it is good!,5,us,good
ኦፕሬተሮቹ በጣም ሃሪፍ መስተንግዶ ይሰጣሉ ጥሩ ነው ሃገር በቀል ድርጅት የብዙ ሰው የስራ እድል ነፈጠረ ነው,4,us,
amazing,5,us,amazing
preference,2,us,preference
በጣም ቀልጣፋ አገልግሎት ነው ያገኘሁት ራይድን አመሰግናለሁ,5,us,
best,5,us,best
nice guy,5,us,nice guy
I'm only giving 5 star so my message will be seen. I can't receive sms code on my phone to start using the app,5,us,im giving star message seen cant receive sm code phone start using app
Very humble and professional guy.,5,us,humble professional guy
good,5,us,good
MartaAachlew,5,us,martaaachlew
good,5,us,good
i love it,4,us,love
"I got charged $4 (284ETH Birr) on my debit card but the driver also said that i had to pay 211ETH Birr in cash, which i did. Needless to say, after posting this review I'll be deleting my account and the app.",1,us,got charged eth birr debit card driver also said pay eth birr cash needless say posting review ill deleting account app
"Now, its faster than before. But it's a little bit costy",3,us,faster little bit costy
🤮🤮🤮🤮🤮,1,us,
"Honestly, I feel a deep connection with RIDE as if it were my very own company. It stands as the first brand in Ethiopia to turn a mere idea into reality, enduring a challenging journey along the way. As customer my admiration and commitment to RIDE are unwavering.",5,us,honestly feel deep connection ride company stand first brand ethiopia turn mere idea reality enduring challenging journey along way customer admiration commitment ride unwavering
I'm comfortable with service,5,us,im comfortable service
WOW,5,us,wow
thanks for your service,5,us,thanks service
I have never ever seen such like of service in ethiopia,4,us,never ever seen like service ethiopia
Perfect,5,us,perfect
Waited twice 14 minute intervals to get the sms but no luck. Waste of time,1,us,waited twice minute interval get sm luck waste time
For my opinion I think the driver they need improvement.,3,us,opinion think driver need improvement
He is a good driver,4,us,good driver
Why I can't get a ride? Only food delivery?,1,us,cant get ride food delivery
"The most horrible skeeming App you will ever get! Their driver stole my money, and is not picking the staff drops the phone when I speak English and they no longer answer! Horrible people who hate foreigners",1,us,horrible skeeming app ever get driver stole money picking staff drop phone speak english longer answer horrible people hate foreigner
4* cuz I can't see when my driver is coming,4,us,cuz cant see driver coming
I enjoyed the ride with very friendly drivers. Well done. The only thing I did not find practical is the fact that they do not give receipts. Ride app should be able to send receipts by email after the ride.,4,us,enjoyed ride friendly driver well done thing find practical fact give receipt ride app able send receipt email ride
good,5,us,good
very good service .,5,us,good service
Ride is very nice,4,us,ride nice
Wow,4,us,wow
Piano templeRun 000,1,us,piano templerun
excellent application,4,us,excellent application
Good 👍,5,us,good
Nesru debela,5,us,nesru debela
perfect,5,us,perfect
Good customer service. Knows how to do his job and he is respectful.,5,us,good customer service know job respectful
Great for cruising in the big city like Addis Ababa.,5,us,great cruising big city like addis ababa
I am glad to use this service,5,us,glad use service
ቨዠዠዠዠዠዠዠዠ፣,5,us,
"I have been using it for almost 4 years and service was good. But now, they are focusing on profit than Sustainability and lost customer loyalty. The center, are joking on customer when called to them. Not even replying to email feedbacks. So it is on the way to crack soon and other service providers, like Feres, to raise and lead the service sector.",1,us,using almost year service good focusing profit sustainability lost customer loyalty center joking customer called even replying email feedback way crack soon service provider like feres raise lead service sector
a very good driver. very nice guy,5,us,good driver nice guy
it doesn't assign drivers easily,3,us,doesnt assign driver easily
nice,5,us,nice
Ato Solomon is a very kind and honest person.,5,us,ato solomon kind honest person
Ok bhn,5,us,ok bhn
ጥሩ ነው ። ባጋጠመህ ሹፌር ሁኔታ ላይ የተመሰረተ ነው ። የዛሬው ጥሩ ነው።,5,us,
Available and reliable. Thank you!,4,us,available reliable thank
Perfect,5,us,perfect
its great app,5,us,great app
very good driver 👌,5,us,good driver
Good,4,us,good
Very well,5,us,well
I love.......,1,us,love
The service provided was below average!!! And the driver is not responding to my calls!!! I left my laptop!!!,1,us,service provided average driver responding call left laptop
east east ride is the best,5,us,east east ride best
Abraham was quick and polite.,5,us,abraham quick polite
Great service and professional drivers.,5,us,great service professional driver
very professional,5,us,professional
የራንድ Ride አኘ ተጠቃሚዎች ኢትዮሳት ወይም Ethiosat ብላቹ ፈልጉት አንደኛ ላይ ይመጣል ሁሉንም የሀገራችንንቲቪ ቻናልይሰራል,3,us,ride ethiosat
Worst app ever seen,2,us,worst app ever seen
good app,5,us,good app
Your up is not custemer freindly. It is only offering food not a driver,1,us,custemer freindly offering food driver
Great app,4,us,great app
RIDE:Ethiopia...,5,us,rideethiopia
"Cheating and thieving drivers that are supported by a dishonest and shameful company. Seriously, this is a warning as drivers are taking passengers away from the destination, confusing passengers by not taking direct routes, to increase fares and I had a power bank stolen, worth 35,000 ETB, by one of those cheats. Even though the controllers can see the routes the cheats take they don't care, don't refund, don't apologise but do back the driver up. Take a Ride means taking a Risk. THIEVES!",1,us,cheating thieving driver supported dishonest shameful company seriously warning driver taking passenger away destination confusing passenger taking direct route increase fare power bank stolen worth etb one cheat even though controller see route cheat take dont care dont refund dont apologise back driver take ride mean taking risk thief
excellent service,5,us,excellent service
Very professional!!!,5,us,professional
Good job.,5,us,good job
Never received a verification sms,2,us,never received verification sm
This app is full of thieves that will take different root for your destination then charge you extra. There is no rating on the driver or call center available to submit your complain. Rubish app,1,us,app full thief take different root destination charge extra rating driver call center available submit complain rubish app
Good and owesome driver,5,us,good owesome driver
Using Ride transport makes mylife easy. My trip with RIDE was great. Thank U.,5,us,using ride transport make mylife easy trip ride great thank u
Exclent,5,us,exclent
Cool drivers except few of them asked your opinion about our politics... I ordered for my God demn final destination to rate the app not to rate me on nothing that I know,3,us,cool driver except asked opinion politics ordered god demn final destination rate app rate nothing know
good app,5,us,good app
እጅግ በጣም አንጠቀማለን ግን ምንም መስጋና እንኳን አልሠጣችሁንም መንም ማበረታቻም እኮ ያስፈልጋል,5,us,
Good,3,us,good
Phone verification not working,1,us,phone verification working
Just wanted to be the first to give 1 star,1,us,wanted first give star
very good,5,us,good
Woow,5,us,woow
Not only the drivers have problems also the call operators don't listen you compliment on drivers properly,1,us,driver problem also call operator dont listen compliment driver properly
excellent,5,us,excellent
"when the driver shows up, the service is excellent. Add extra time to your journey for traffic and for driver no-shows.",5,us,driver show service excellent add extra time journey traffic driver noshows
Good!!! Really you introducer but not faster than (you competitor )feres. Example: average time to call response to any answer more than 2 minutes and service change is no good!,4,us,good really introducer faster competitor feres example average time call response answer minute service change good
Anti orthodoxs,1,us,anti orthodoxs
Not a good app this app is decline ortodox church service,1,us,good app app decline ortodox church service
❌Ride🚫,1,us,ride
Scammer,1,us,scammer
Worst app ever they are racists,1,us,worst app ever racist
Ride canceled because of what they did to Orthodox clients.,1,us,ride canceled orthodox client
this is a b.tch app don't download,1,us,btch app dont download
